Unnamed: 0,brand,model,car_type,img_url,price,drive,hp,weight,torque,w_kg,year,country
0,AC Cars,427 S/C ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0004.jpg,423200.0,FR,478.0,1311.0,651.0,272 to ? W/Kg,1966.0,🇬🇧
3,Abarth,500 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0002.jpg,29500.0,FF,133.0,1035.0,180.0,96 to 251 W/Kg,2009.0,🇮🇹
4,Abarth,Grande Punto ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0003.jpg,27000.0,FF,153.0,1240.0,230.0,92 to ? W/Kg,2009.0,🇮🇹
5,Acura,CL 3.2 Type-S ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1008.jpg,32180.0,FF,260.0,1592.0,315.0,122 to ? W/Kg,2001.0,🇯🇵
6,Acura,CL 3.2 Type-S ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1009.jpg,32420.0,FF,260.0,1563.0,314.0,124 to 251 W/Kg,2003.0,🇯🇵
9,Acura,INTEGRA TYPE R ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1007.jpg,25940.0,FF,195.0,1197.0,176.0,122 to 254 W/Kg,2001.0,🇯🇵
10,Acura,NSX ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1012.jpg,94440.0,MR,290.0,1430.0,304.0,151 to 291 W/Kg,2004.0,🇯🇵
11,Acura,NSX ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1010.jpg,80000.0,MR,270.0,1365.0,284.0,148 to 302 W/Kg,1991.0,🇯🇵
13,Acura,NSX Coupe ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1011.jpg,89130.0,MR,290.0,1392.0,304.0,155 to ? W/Kg,1997.0,🇯🇵
15,Acura,RSX Type-S ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_1006.jpg,24740.0,FF,200.0,1255.0,192.0,119 to ? W/Kg,2004.0,🇯🇵
16,Alfa Romeo,147 2.0 TWIN SPARK ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0008.jpg,30590.0,FF,148.0,1280.0,181.0,86 to ? W/Kg,2002.0,🇮🇹
17,Alfa Romeo,147 GTA ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0017.jpg,48040.0,FF,246.0,1360.0,300.0,135 to 278 W/Kg,2002.0,🇮🇹
18,Alfa Romeo,147 TI 2.0 TWIN SPARK ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0007.jpg,31400.0,FF,148.0,1280.0,180.0,86 to ? W/Kg,2006.0,🇮🇹
19,Alfa Romeo,155 2.5 V6 TI ,Race,https://www.kudosprime.com/gt6/images/cars/gt6_car_0020.jpg,1250000.0,4WD,414.0,1010.0,294.0,306 to 463 W/Kg,1993.0,🇮🇹
20,Alfa Romeo,156 2.5 V6 24V ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0012.jpg,40230.0,FF,187.0,1320.0,221.0,106 to ? W/Kg,1998.0,🇮🇹
21,Alfa Romeo,166 2.5 V6 24V Sportronic ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0009.jpg,58710.0,FF,187.0,1520.0,221.0,92 to 297 W/Kg,1998.0,🇮🇹
22,Alfa Romeo,8C Competizione ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0019.jpg,220000.0,FR,444.0,1585.0,480.0,209 to 401 W/Kg,2008.0,🇮🇹
23,Alfa Romeo,Brera Sky Window 3.2 JTS Q4 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0015.jpg,64900.0,4WD,256.0,1750.0,321.0,109 to 322 W/Kg,2006.0,🇮🇹
25,Alfa Romeo,GT 3.2 V6 24V ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0016.jpg,39010.0,FF,237.0,1347.0,300.0,131 to ? W/Kg,2004.0,🇮🇹
26,Alfa Romeo,GTV 3.0 V6 24V ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0014.jpg,49060.0,FF,217.0,1415.0,265.0,114 to 277 W/Kg,2001.0,🇮🇹
27,Alfa Romeo,Giulia Sprint GTA 1600 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0010.jpg,113010.0,FR,113.0,745.0,143.0,114 to 322 W/Kg,1965.0,🇮🇹
28,Alfa Romeo,Giulia Sprint Speciale ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0006.jpg,62040.0,FR,110.0,950.0,131.0,86 to 199 W/Kg,1963.0,🇮🇹
29,Alfa Romeo,MiTo 1.4 T Sport ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0011.jpg,28500.0,FF,153.0,1145.0,201.0,100 to 227 W/Kg,2009.0,🇮🇹
30,Alfa Romeo,Spider 1600 Duetto ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0005.jpg,35300.0,FR,108.0,960.0,139.0,84 to 199 W/Kg,1966.0,🇮🇹
31,Alfa Romeo,Spider 3.0i V6 24V ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0013.jpg,51190.0,FF,215.0,1450.0,265.0,110 to 259 W/Kg,2001.0,🇮🇹
32,Alfa Romeo,TZ3 Stradale ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0021.jpg,605000.0,FR,582.0,1552.0,760.0,280 to ? W/Kg,2011.0,🇮🇹
36,Alpine,A310 1600VE ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0022.jpg,33000.0,RR,123.0,930.0,148.0,99 to 233 W/Kg,1973.0,🇫🇷
39,Amuse,Carbon R (R34) ,Tuned,https://www.kudosprime.com/gt6/images/cars/gt6_car_0317.jpg,250000.0,FR,513.0,1123.0,511.0,340 to 490 W/Kg,2004.0,🇯🇵
43,Amuse,S2000 R1 ,Tuned,https://www.kudosprime.com/gt6/images/cars/gt6_car_0315.jpg,125000.0,FR,259.0,1120.0,235.0,172 to ? W/Kg,2004.0,🇯🇵
46,Aston Martin,DB7 Vantage Coupe ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0025.jpg,194260.0,FR,420.0,1775.0,542.0,176 to 374 W/Kg,2000.0,🇬🇧
47,Aston Martin,DB9 Coupe ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0027.jpg,164470.0,FR,450.0,1710.0,569.0,196 to ? W/Kg,2003.0,🇬🇧
48,Aston Martin,DB9 Coupe ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0028.jpg,181860.0,FR,450.0,1710.0,569.0,196 to 374 W/Kg,2006.0,🇬🇧
50,Aston Martin,One-77 ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0031.jpg,1320000.0,FR,749.0,1630.0,750.0,343 to ? W/Kg,2011.0,🇬🇧
51,Aston Martin,V12 Vantage ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0030.jpg,217350.0,FR,510.0,1680.0,570.0,226 to 396 W/Kg,2010.0,🇬🇧
52,Aston Martin,V8 Vantage ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0029.jpg,448000.0,FR,550.0,1970.0,745.0,208 to ? W/Kg,1999.0,🇬🇧
53,Aston Martin,Vanquish ,Street,https://www.kudosprime.com/gt6/images/cars/gt6_car_0026.jpg,238750.0,FR,459.0,1835.0,542.0,187 to ? W/Kg,2004.0,🇬🇧
